Bandit,Reward,Algorithm
Bandit,2.752558410051434,Epsilon Greedy
Bandit,1.6511083826754511,Epsilon Greedy
Bandit,3.476197020600174,Epsilon Greedy
Bandit,3.2914647323062085,Epsilon Greedy
Bandit,4.529484394281369,Epsilon Greedy
Bandit,2.6798034706004095,Epsilon Greedy
Bandit,3.619136557010429,Epsilon Greedy
Bandit,3.7315889035876793,Epsilon Greedy
Bandit,4.506743884168736,Epsilon Greedy
Bandit,5.136288134883831,Epsilon Greedy
Bandit,4.160118938852059,Epsilon Greedy
Bandit,0.2738758108211964,Epsilon Greedy
Bandit,3.2527366351722597,Epsilon Greedy
Bandit,4.547328095670684,Epsilon Greedy
Bandit,2.9331631566370815,Epsilon Greedy
Bandit,2.7696744665787794,Epsilon Greedy
Bandit,2.5188987487998884,Epsilon Greedy
Bandit,2.1845744761050025,Epsilon Greedy
Bandit,5.717701068517622,Epsilon Greedy
Bandit,4.092093078990974,Epsilon Greedy
Bandit,3.220188566639054,Epsilon Greedy
Bandit,5.50453303563888,Epsilon Greedy
Bandit,3.3233946691240592,Epsilon Greedy
Bandit,2.5203748717202576,Epsilon Greedy
Bandit,2.7891370525939294,Epsilon Greedy
Bandit,2.5789340726360983,Epsilon Greedy
Bandit,4.410014965493759,Epsilon Greedy
Bandit,3.0611126235008577,Epsilon Greedy
Bandit,4.299606728269859,Epsilon Greedy
Bandit,2.5505429208049177,Epsilon Greedy
Bandit,4.170516823750294,Epsilon Greedy
Bandit,3.7979865403902933,Epsilon Greedy
Bandit,4.415821793525507,Epsilon Greedy
Bandit,2.1042146013416767,Epsilon Greedy
Bandit,4.309945947767266,Epsilon Greedy
Bandit,4.564233617982548,Epsilon Greedy
Bandit,4.1897277585612995,Epsilon Greedy
Bandit,4.361246045116337,Epsilon Greedy
Bandit,5.2581471362947845,Epsilon Greedy
Bandit,3.368073928941098,Epsilon Greedy
Bandit,3.4679099164195746,Epsilon Greedy
Bandit,2.2196177363128604,Epsilon Greedy
Bandit,4.572297726149153,Epsilon Greedy
Bandit,4.066538694474634,Epsilon Greedy
Bandit,3.6017495522077554,Epsilon Greedy
Bandit,4.073350989480156,Epsilon Greedy
Bandit,5.007078501854945,Epsilon Greedy
Bandit,2.76122183999397,Epsilon Greedy
Bandit,4.227609509449055,Epsilon Greedy
Bandit,3.3298758936610553,Epsilon Greedy
Bandit,4.627079737932586,Epsilon Greedy
Bandit,3.7818252887049217,Epsilon Greedy
Bandit,5.119970435886727,Epsilon Greedy
Bandit,5.075935638193685,Epsilon Greedy
Bandit,3.501819510113498,Epsilon Greedy
Bandit,3.174380041558407,Epsilon Greedy
Bandit,3.429800019841008,Epsilon Greedy
Bandit,3.6345484926123315,Epsilon Greedy
Bandit,4.69218119440937,Epsilon Greedy
Bandit,4.769998431860595,Epsilon Greedy
Bandit,1.2128482688992581,Epsilon Greedy
Bandit,2.683323261185591,Epsilon Greedy
Bandit,5.636542827034855,Epsilon Greedy
Bandit,4.414645983792919,Epsilon Greedy
Bandit,4.811418799786967,Epsilon Greedy
Bandit,4.695249217141142,Epsilon Greedy
Bandit,0.8447363567423987,Epsilon Greedy
Bandit,2.091365735242664,Epsilon Greedy
Bandit,2.8907900059134413,Epsilon Greedy
Bandit,4.579398175619891,Epsilon Greedy
Bandit,3.132479578436942,Epsilon Greedy
Bandit,3.893406667664542,Epsilon Greedy
Bandit,2.713170193134884,Epsilon Greedy
Bandit,4.4735992271686165,Epsilon Greedy
Bandit,4.218664842106086,Epsilon Greedy
Bandit,3.0737746125942036,Epsilon Greedy
Bandit,2.3483491143637956,Epsilon Greedy
Bandit,3.1687557798575456,Epsilon Greedy
Bandit,3.3096345227330484,Epsilon Greedy
Bandit,3.919459623432004,Epsilon Greedy
Bandit,3.2991543636857346,Epsilon Greedy
Bandit,3.8269230827491425,Epsilon Greedy
Bandit,5.9477038179082715,Epsilon Greedy
Bandit,4.429339369492689,Epsilon Greedy
Bandit,3.5583591487471637,Epsilon Greedy
Bandit,3.3424482131372946,Epsilon Greedy
Bandit,4.255333001922409,Epsilon Greedy
Bandit,2.803250297753613,Epsilon Greedy
Bandit,5.0698669772331,Epsilon Greedy
Bandit,3.2949010402917915,Epsilon Greedy
Bandit,3.103612611968543,Epsilon Greedy
Bandit,6.293382773233046,Epsilon Greedy
Bandit,5.723347091191168,Epsilon Greedy
Bandit,4.631539757532199,Epsilon Greedy
Bandit,4.191535907310821,Epsilon Greedy
Bandit,0.9455779568669619,Epsilon Greedy
Bandit,1.9612730844919006,Epsilon Greedy
Bandit,4.84513304629948,Epsilon Greedy
Bandit,1.998931645213235,Epsilon Greedy
Bandit,3.9869219428674976,Epsilon Greedy
Bandit,4.639639250598018,Epsilon Greedy
Bandit,3.3585433207310547,Epsilon Greedy
Bandit,4.541826081907031,Epsilon Greedy
Bandit,3.7880283824911904,Epsilon Greedy
Bandit,3.8111900050209777,Epsilon Greedy
Bandit,5.6424099391608165,Epsilon Greedy
Bandit,3.230481602296146,Epsilon Greedy
Bandit,5.899096628996209,Epsilon Greedy
Bandit,3.4513219105468416,Epsilon Greedy
Bandit,3.606218819143206,Epsilon Greedy
Bandit,2.3745655510136983,Epsilon Greedy
Bandit,3.5718065445209897,Epsilon Greedy
Bandit,4.111243749164348,Epsilon Greedy
Bandit,4.600587389018155,Epsilon Greedy
Bandit,3.7330204863721637,Epsilon Greedy
Bandit,4.519405780957441,Epsilon Greedy
Bandit,3.5561090407213856,Epsilon Greedy
Bandit,4.238179658410647,Epsilon Greedy
Bandit,3.036162897877646,Epsilon Greedy
Bandit,5.364560391916395,Epsilon Greedy
Bandit,3.827399782851661,Epsilon Greedy
Bandit,3.8594221676211937,Epsilon Greedy
Bandit,4.218155741872348,Epsilon Greedy
Bandit,6.03417592258556,Epsilon Greedy
Bandit,4.192656476147364,Epsilon Greedy
Bandit,3.9976227702621827,Epsilon Greedy
Bandit,3.6557065057705755,Epsilon Greedy
Bandit,4.621230506185368,Epsilon Greedy
Bandit,4.137659415803995,Epsilon Greedy
Bandit,4.002992877370546,Epsilon Greedy
Bandit,3.8876166738721856,Epsilon Greedy
Bandit,4.324282703149963,Epsilon Greedy
Bandit,2.083065399502653,Epsilon Greedy
Bandit,5.264787695620037,Epsilon Greedy
Bandit,4.436528641496075,Epsilon Greedy
Bandit,4.453945133356111,Epsilon Greedy
Bandit,2.9470563080364,Epsilon Greedy
Bandit,4.853292956065468,Epsilon Greedy
Bandit,2.927050366550046,Epsilon Greedy
Bandit,3.0056273873799046,Epsilon Greedy
Bandit,3.410861359036188,Epsilon Greedy
Bandit,5.61405517279596,Epsilon Greedy
Bandit,3.3738710152745797,Epsilon Greedy
Bandit,3.610163566281207,Epsilon Greedy
Bandit,4.809139516081757,Epsilon Greedy
Bandit,2.7579465180212495,Epsilon Greedy
Bandit,2.6093233291967284,Epsilon Greedy
Bandit,1.2388611583559426,Epsilon Greedy
Bandit,2.5592301395133585,Epsilon Greedy
Bandit,2.1391575206965787,Epsilon Greedy
Bandit,4.019687027146708,Epsilon Greedy
Bandit,5.746305560445332,Epsilon Greedy
Bandit,4.0830287294211205,Epsilon Greedy
Bandit,2.8248025954013385,Epsilon Greedy
Bandit,3.866551624654037,Epsilon Greedy
Bandit,4.85618018360197,Epsilon Greedy
Bandit,2.487173625641689,Epsilon Greedy
Bandit,5.401612387521803,Epsilon Greedy
Bandit,3.5620473297313793,Epsilon Greedy
Bandit,4.8106586850053,Epsilon Greedy
Bandit,3.597640445012063,Epsilon Greedy
